"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36916","TC_58_Verify_BMI_Status_Obese","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","42105","TC_18_Verify_Visit_Reason","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32704","TC_08_Verify_BMI_Overweight_Category","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37387","TC_07_Verify_SpO2","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","36967","TC_53_Verify_All_Required_Fields_Can_Be_Completed","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","40861","TC_28_Verify_RBS_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","36742","TC_40_Verify_WHR_Updates_When_Hip_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37324","TC_49_Verify_Height_Max_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","38059","TC_13_Verify_OGTT","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","13274","TC_02_Verify_First_Name_Field","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","30880","TC_40_Verify_Vitals_Decimal_Input_Mode","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","38797","TC_10_Verify_PPBS","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","42646","TC_42_Verify_Blood_Group_Is_Optional","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37855","TC_12_Verify_Hip_Circumference","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","61149","TC_22_Verify_BMI_Cannot_Be_Manually_Edited","chromium","2026-08-14","broken","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","38250","TC_39_Verify_WHR_Updates_When_Waist_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","50110","TC_60_Verify_BMI_Clears_When_Weight_Is_Cleared","chromium","2026-08-14","failed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37172","TC_64_Verify_WHR_Recalculation_With_Multiple_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","31746","TC_44_Verify_BMI_Is_Automatically_Generated","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","43059","TC_26_Verify_BMI_After_Clearing_Weight","chromium","2026-08-14","failed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","11362","TC01 - Valid Username","chromium","2026-08-14","passed","2026-08-14","Forgot Password Module","ForgetPassword.spec.js","",""
"","41089","TC_54_Verify_Error_Message_Clears_After_Entering_Value","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","5412","TC02 - Blank Username","chromium","2026-08-14","passed","2026-08-14","Forgot Password Module","ForgetPassword.spec.js","",""
"","32699","TC_43_Verify_WHR_Placeholder","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","32280","TC_41_Verify_Vitals_Maximum_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","32191","TC_07_Verify_BMI_Underweight_Category","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37470","TC_11_Verify_Waist_Circumference","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","31992","TC_32_Verify_Temperature_Can_Remain_Empty","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","12322","TC_05_Verify_Phone_Number_Field","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","33676","TC_35_Verify_Blood_Group_Can_Remain_Unselected","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","42693","TC_29_Verify_Waist_Circumference_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","7289","TC06 - Invalid Mobile Number","chromium","2026-08-14","passed","2026-08-14","Forgot Password Module","ForgetPassword.spec.js","",""
"","38387","TC_68_Verify_SpO2_Can_Be_Entered_And_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","5727","Login with invalid password","chromium","2026-08-14","passed","2026-08-14","Login Module","Loginpage.spec.js","",""
"","32298","TC_21_Verify_Weight_Maximum_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","32179","TC_01_Verify_Vitals_Section_Headers","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","61133","TC_48_Verify_WHR_Cannot_Be_Manually_Edited","chromium","2026-08-14","broken","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37436","TC_03_Verify_Weight","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32885","TC_37_Verify_WHR_After_Multiple_Updates","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","31606","TC_12_Verify_WHR_Field_Is_ReadOnly","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","33505","TC_16_Verify_Decimal_Height_And_Weight","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","41644","TC_27_Verify_PPBS_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","38814","TC_34_Verify_BMI_Calculation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37754","TC_02_Verify_Height","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32386","TC_14_Verify_WHR_Recalculates_When_Waist_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","33902","TC_17_Verify_Decimal_BMI_Calculation","chromium","2026-08-14","failed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37455","TC_35_Verify_BMI_Updates_When_Height_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","33052","TC_39_Verify_WHR_Direct_Input_Is_Not_Allowed","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37493","TC_62_Verify_WHR_Clears_When_Hip_Is_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32337","TC_33_Verify_SpO2_Can_Remain_Empty","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","31307","TC_15_Verify_WHR_Recalculates_When_Hip_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37644","TC_38_Verify_WHR_Calculation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37359","TC_73_Verify_Weight_Decimal_Precision","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
